Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かっちり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"シュル,",shuru,*snake*,Snaking motion. Often used for Rose Whip or other vines or tendrils snaking around. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パチン,",pachin,(1) *snap* *click*;,"(1) SFX for snapping something open or closed, i.e. flipping open/close a cell phone;",,ぴーっ,,(2) *beeeep* *beep*,(2) High-pitched computer error sound. ,,"プッ,",pu,*pfft*,"SFX for a light laugh, slightly smothered. Can be derogatory. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチャッ,",kacha,*clicking*,,,,,,,,,,,,,,,,,,,,,,,,,,,,しゅる,,,,,"ズルズル,",zuru zuru,(1) *drag*;,(1) Something heavy dragging or being pulled;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱちん,,(2) *open* *close*;,"(2) SFX for snapping something open or closed, i.e. flipping open/close a cell phone;",,,,,,,ぷっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちゃっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずるずる,,(2) *freely*,"(2) Ex: a cold runny nose running freely, or eating soup noisily and without care for the surroundings;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *smack*;,"(3) SFX for hitting something or someone, not quite as if fighting but more like a slap;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチャ,",kacha,(1) *click*;,"(1) The click of something opening, such as a latch, a door, or even a belt; ",,,,,,,,,,,,,,,,,,,,,,,,,,,"シュルシュル,",shuru shuru,(1) *undo* *undone*; ,"(1) SFX for something being undone; usually an obi (Japanese belt for the kimono), ribbons, bandages; ",,,,*loosely*,"(3) SFX for a sucking or slurping motion, like when eating noodles very fast ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *ka-chink* *ker-chink* *chink* *clink*,"(4) SFX for metallic clinking or clattering, a light sound. ",,"ピー,",pi-,(1) *whistle* *melody* *tootle* *tweet*;,"(1) High, melodic sound - like a flute;",,"プ,",pu,(1) *pinch* *pluck*;,(1) See also *bu*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちゃ,,(2) *click* *ka-chak* *ker-chak*;,"(2) The click of a telephone, like *ka-chak* or *ker-chak*;",,,,,,,,,,,,,,,,,,,,,,,,,,,しゅるしゅる,,(2) *shrink*; ,(2) SFX for something shrinking in size; ,,,,*wherever*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぴー,,(2) *peel* *pull out*;,(2) Like when unraveling something that's rolled up;,,ぷ,,(2) *boop* *beep*,"(2) SFX for a beeping sound, like the button of a phone when pressed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *clink*;,(4) Something being too big. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *whip* *throw*,"(3) SFX of something being thrown, usually something whip-like. ",,,,*dally*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *beeeeep* *beep*,"(3) Like a high-pitched, computer error sound. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *big*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*without a care*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パチンッ,",pachin,*smack* *wham*,"SFX for an impact, usually after an offensive attack in a fight has hit something. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *clang*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *slurp slurp*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱちんっ,,,,,,,,,,"プププ,",pu pu pu,*strange laugh*,See also *fu fu fu*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *clank*,,,,,,,,,,,,,,,,,,,,,,,,,,,,"シュルン,",shurun,*snake*,Snaking motion. Often used for Rose Whip or other vines or tendrils snaking around. ,,,,(4) *slip slide*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピーンッ,",pi-n,*flash* *suddenly*,"SFX for suddenly recalling something, like a flashback or revelation. ",,ぷぷぷ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチャカチャ,",kacha kacha,*click click*,,,,,,,,,,,,,,,,,,,,,,,,,,,,しゅるん,,,,,"ズルル,",zururu,*slurp*,See *jururu*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パチンパチン,",pachin pachin,*small* *cute*,,,ぴーんっ,,*revelation* *realizes* *shock*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちゃかちゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずるる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱちんぱちん,,,,,,,,,,"プー,",pu-,(1) *dohhhh*;,(1) Blowing up your cheeks and whining like a child;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチャン,",kachan,(1) *ker-chak* *clink*;,(1) SFX for the clinking of glass-like or ceramic-like material;,,,,,,,,,,,,,,,,,,,,,,,,,,,"シュルル,",shururu,*snake*,Snaking motion. Often used for Rose Whip or other vines or tendrils snaking around. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パグーッ,",pagu-,*grab* *grabs*,SFX for taking ahold of something with great force. ,,"ピーポー,",pi-po-,*wee-woo-* *wee woo*,"The sound of sirens, like from an ambulance of fire engine truck. ",,ぷー,,(2) *anger*,(2) See also *puri puri*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちゃん,,(2) *clatter*,"(2) Like when getting up from a chair, or pushing back a chair ",,,,,,,,,,,,,,,,,,,,,,,,,,,しゅるる,,,,,"ズササ,",zusasa,*quick vigorous motion* *scuttle*,*zu* (vigorous) plus *sasa* *quick motion*; a quick scuttling recoil. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱぐーっ,,,,,ぴーぽー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずささ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"シュタシュタ,",shuta shuta,*ching ching* *woosh woosh*,Usually the SFX for ninjas throwing shurikens or people throwing something similar. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パカ,",paka,(1) *plunk* *open*;,(1) Like a flip-flop lid (i.e. lunch box). ,,"ピーラ　ピーララ,",pi-ra pi-rara,*ring ring*,SFX for cell phone ringing. ,,"プーッ,",pu-,*ddoooh* *oohhh*,SFX for stifled laughter or moaning. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチャリ,",kachari,*opens* *turns*,SFX for opening doorknob. ,,,,,,,,,,,,,,,,,,,,,,,,,,,しゅたしゅた,,,,,"ズシャ,",zusha,(1) *slide*; ,(1) Sound of something sliding; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱか,,(2) *separating*;,,,ぴーら　ぴーらら,,,,,ぷーっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちゃり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずしゃ,,(2) *slash*,"(2) Someone slashing another with a sword, or whip-like motion. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *snap*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"シュウ,",shuu,(1) *fsshhh*; ,(1) Sound of anger/fire rising/settling down; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パカパカ,",paka paka,*trotting*,SFX for the footsteps of a horse on cobblestones. ,,"ピチャ,",picha,*drip*,"See also *po*, *pochan*, and *pota*. ",,"プーン,",pu-n,(1) *odor*;,"(1) SFX to explain some awful smell going around like *Tsu-n* but no so ""sour"";",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチッ,",kachi,(1) *click* *snap*;,"(1) For instance, to snap something on, or to fasten something on;",,,,,,,,,,,,,,,,,,,,,,,,,,,しゅう,,(2) *hissss*,"(2) SFX for snakes hissing, ex. Kaidoh in PoT (Prince of Tennis) applies to both of these. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱかぱか,,*clippity-clop*,,,ぴちゃ,,,,,ぷーん,,(2) *bzz* *buzz*,(2) SFX for the presence of a small insect. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちっ,,(2) *clack*,(2) SFX for metallic clinking sound ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズシン,",zushin,*shud*,"Hard impact, harder than *dosun* or *patan*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずしん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パカーン,",paka-n,*ker-thwack* *ker-whack*,,,"ピチャン,",pichan,*plop*,SFX for a very light splash. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱかーん,,,,,ぴちゃん,,*splash*,,,"プーップーップーッ,",pu-pu-pu-,*beep beep beep*,Like when someone hangs up on you. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチカチ,",kachi kachi,(1) *click click*; ,(2) Ticking of a clock;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズタズタ,",zuta zuta,*torn to bits* *worn out* *total wreck*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パキ,",paki,*snap*,Lighter notion than *Baki* ,,,,,,,ぷーっぷーっぷーっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちかち,,(2) *tick tick*; ,"(3) State of being totally frozen, freezing until hardened. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずたずた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱき,,,,,"ピチ,",pichi,(1) *packed* *stuffed*;,(1) SFX used when something is packed to its limit;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *frozen*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズッタン,",zuttan,*left right*,Movement for dancing or jamming to the beat of some music. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぴち,,(2) *flap* *bounce* *snap*,(2) See also *bichi*. ,,"プアッ,",pua,*gasp* *fwaa*,SFX for a gasp of breath. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *clickety clack*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずったん,,*back and forth*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パキーンッ,",paki-n,*snap* *crack*,SFX for something breaking in two. ,,,,,,,ぷあっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*clack clack*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*in and out*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱきーんっ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチコーン,",kachi ko-n,*freezes* *freeze* *frozen* *shock*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*dancing*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピチピチ,",pichi pichi,*fresh* *lively*,"Used with things such as fish, prawns and even young girls (compared to older women). Young, fresh, vigorous. ",,"プチッ,",puchi,(1) *pop*; ,"(1) Something small busting, ex. bubble wrap; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちこーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズウン,",zuun,(1) *zziipp* *slash*;,"(1) SFX for a direct hit, usually with a whip-like tool or weapon;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パキン,",pakin,*snap* *crack*,SFX for something breaking in two. ,,ぴちぴち,,,,,ぷちっ,,(2) *snap*,(2) When someone loses their temper. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチコチ,",kachi kochi,*rigid* *freeze up* *frozen* *frozen stiff* *nervous*,See also *kachi kachi*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずうん,,(2) *jab* *stab* *slash*;,"(2) SFX for a direct hit, usually with a whip-like tool or weapon;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱきん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちこち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *bam*;,"(3) SFX for a direct hit, usually with a whip-like tool or weapon;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピチョン,",pichon,*drip*,"See also *po*, *pochan*, and *pota*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *doom* *gloom*,(4) SFX for depression. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パコ,",pako,*pop*,Like when opening a lid to something. ,,ぴちょん,,,,,"プチプチ,",puchi puchi,*popping*,"Like ikura, bubble plastic. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチーン,",kachi-n,(1) *pissed off* *eh?*; ,"(1) SFX when you get pissed off in the sense that the particular word someone says ""triggers your anger""; ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱこ,,,,,,,,,,ぷちぷち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちーん,,(2) *clang*,(2) for money falling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピィ,",pii,*shing* *ping*,"SFX for suddenly sensing something, a sudden awareness. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズヴァ,",zuva,*slash* *shaa* *fushaa*,"SFX for getting cut or sliced, and bleeding profusely. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パコパコ,",pako pako,(1) *pow pow*,(1) Hitting someone lightly. ,,ぴぃ,,,,,"プチプチ,",puchi puchi,*pop pop* *crackle crackle*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずゔぁ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱこぱこ,,,,,,,,,,ぷちぷち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチン,",kachin,(1) *frozen*;,(3) Bouncing bullet. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピカッ,",pika,*flash*,SFX for a flash of thunder. ,,"プチーン,",puchi-n,*snap*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちん,,(2) *clinking* *cracking*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズヨーン,",zuyo-n,*goom* *depressed*,SFX for getting extremely upset or a feeling of doom sets in. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パコパカパーン,",pakopakapa-n,*da da da dan* *da da da dum* *ta dah* *tada*,SFX for an imaginary 'ring' or 'jingle' of success. ,,ぴかっ,,,,,ぷちーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
